,name,url,location,address,lat,lon
42,Zenitude Hôtel-Résidences Les Hauts d'Annecy,https://www.booking.com/hotel/fr/appart-city-annecy-seynod.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Annecy,"16, rue du Champ de la Taillee, 74600 Annecy, France",45.89074900,6.10775300
43,Appart'City La Rochelle,https://www.booking.com/hotel/fr/appart-city-cap-affaires-la-rochelle.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,La Rochelle,"8 Rue Franc Lapeyre, 17000 La Rochelle, France",46.15844669,-1.14101171
44,Appart'City Confort Lille Grand Palais,https://www.booking.com/hotel/fr/appart-city-lille-grand-palais.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Lille,"19 rue Berthe Morisot, Centre de Lille, 59000 Lille, France",50.62905798,3.08113396
45,Appart'City Nimes,https://www.booking.com/hotel/fr/appart-city-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Nimes,"364, allée de l’Amérique Latine, 30900 Nîmes, France",43.82158549,4.36459780
46,Appart'City Strasbourg Centre,https://www.booking.com/hotel/fr/appart-city-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Strasbourg,"11 rue de Molsheim, 67000 Strasbourg, France",48.57772068,7.73397669
47,Appart LE COUCOU,https://www.booking.com/hotel/fr/appart-le-coucou.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Chateau du Haut Koenigsbourg,"57 Route du Vin, 68590 Saint-Hippolyte, France",48.23306340,7.36852060
48,City Résidence Aix-en-Provence,https://www.booking.com/hotel/fr/appart-valley-aix-en-provence.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Aix en Provence,"42 Route de Galice, 13090 Aix-en-Provence, France",43.52854450,5.42601228
49,City Résidence Strasbourg Centre,https://www.booking.com/hotel/fr/appart-victoria-garden-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Strasbourg,"1 Rue des Magasins, 67000 Strasbourg, France",48.58906194,7.73879863
50,Appart L'avant Scene Tresums,https://www.booking.com/hotel/fr/apparte-l-avant-scene-tresums.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Annecy,"13, avenue du Tresum, 74000 Annecy, France",45.89559668,6.12978489
51,Appartement Centre de Biarritz,https://www.booking.com/hotel/fr/appartement-biarritz-plein-centre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Biarritz,"13 avenue du Maréchal Foch, 64200 Biarritz, France",43.48038636,-1.55849993
